대표감정,세부감정,대화

슬픔,무기력,요즘은 아무 의욕이 안 생겨.
슬픔,무기력,오늘 하루 종일 누워만 있었어.
슬픔,무기력,몸이 너무 무거워서 움직이기 싫어.
슬픔,무기력,기분이 가라앉아서 아무것도 하기 싫더라.
슬픔,무기력,눈은 떴는데 일어날 힘이 없어.
슬픔,무기력,너무 피곤한데 이유를 모르겠어.
슬픔,무기력,하루 종일 멍하니 있었어.
슬픔,무기력,그냥 숨만 쉬고 지나가는 느낌이야.
슬픔,무기력,뭘 해도 손이 안 가.
슬픔,무기력,기분이 바닥까지 떨어졌어.
슬픔,무기력,오늘은 정말 아무것도 하기 싫다.
슬픔,무기력,이불 밖으로 나가기가 너무 싫어.
슬픔,무기력,그냥 누워 있고 싶어.
슬픔,무기력,머릿속이 하얘서 아무 생각이 안 나.
슬픔,무기력,시간이 너무 느리게 가.
슬픔,무기력,하루가 너무 버거워.
슬픔,무기력,몸도 마음도 다 지쳤어.
슬픔,무기력,잠은 잤는데 더 피곤해.
슬픔,무기력,요즘은 웃는 게 힘들어.
슬픔,무기력,기분이 축 처져서 아무 말도 하기 싫어.
슬픔,무기력,아무 감정도 안 느껴져.
슬픔,무기력,마음이 텅 비어 있는 느낌이야.
슬픔,무기력,이유 없이 피곤해.
슬픔,무기력,하루 종일 힘이 빠져 있었어.
슬픔,무기력,그냥 조용히 있고 싶어.
슬픔,무기력,아무도 안 건드렸으면 좋겠어.
슬픔,무기력,정말 기운이 하나도 없어.
슬픔,무기력,뭘 해도 피곤하고 무기력해.
슬픔,무기력,그냥 가만히 있는 게 제일 편해.
슬픔,무기력,어제도 오늘도 다 똑같아.
슬픔,무기력,일어날 힘이 없어서 계속 누워 있었어.
슬픔,무기력,다시 시작할 마음이 안 생겨.
슬픔,무기력,그냥 피곤하다는 생각만 들어.
슬픔,무기력,내가 뭘 하고 있는지도 모르겠어.
슬픔,무기력,그냥 하루가 지나가길 바랄 뿐이야.
슬픔,무기력,몸이 말처럼 안 움직여.
슬픔,무기력,생각도 하기 싫어.
슬픔,무기력,마음이 너무 무겁다.
슬픔,무기력,오늘 하루는 그냥 흘러갔어.
슬픔,무기력,다시 힘낼 자신이 없어.
슬픔,무기력,그냥 아무것도 안 하고 싶어.
슬픔,무기력,기분이 가라앉아서 말하기도 싫어.
슬픔,무기력,아무 일도 없는데 괜히 피곤해.
슬픔,무기력,요즘은 숨 쉬는 것도 귀찮아.
슬픔,무기력,하루가 너무 느리게 흘러가.
슬픔,무기력,그냥 멍하니 벽만 봤어.
슬픔,무기력,뭘 해도 집중이 안 돼.
슬픔,무기력,아무 말도 하기 싫은 날이야.
슬픔,무기력,하루 종일 누워만 있었더니 더 무기력해졌어.
슬픔,무기력,일이 손에 안 잡혀.
슬픔,무기력,그냥 잠들고 싶어.
슬픔,무기력,요즘은 그냥 숨만 쉬는 느낌이야.
슬픔,무기력,그냥 피곤해서 다 귀찮아.
슬픔,무기력,기분이 가라앉아서 아무 생각도 안 나.
슬픔,무기력,요즘 너무 조용히 살고 싶어.
슬픔,무기력,오늘은 하루 종일 침대 위에서만 있었어.
슬픔,무기력,아무 일도 하기 싫고 그냥 쉬고 싶어.
슬픔,무기력,기운이 다 빠진 것 같아.
슬픔,무기력,하루를 버티는 것도 힘들어.
슬픔,무기력,그냥 다 내려놓고 싶어.
슬픔,무기력,하루가 왜 이렇게 힘든지 모르겠어.
슬픔,무기력,내가 점점 작아지는 기분이야.
슬픔,무기력,마음이 너무 지쳐서 아무것도 하기 싫어.
슬픔,무기력,잠이 와도 자고 싶지가 않아.
슬픔,무기력,그냥 살아있는 느낌만 나.
슬픔,무기력,다시 웃을 자신이 없어.
슬픔,무기력,뭘 해도 허무한 기분이야.
슬픔,무기력,그냥 조용히 있고 싶어.
슬픔,무기력,기분이 계속 가라앉아.
슬픔,무기력,요즘은 진짜 피곤하다는 말밖에 안 나와.
슬픔,무기력,하루를 시작하기가 너무 힘들어.
슬픔,무기력,이제 뭘 해야 할지 모르겠어.
슬픔,무기력,그냥 다 귀찮아.
슬픔,무기력,하루 종일 멍하게 있었어.
슬픔,무기력,마음이 너무 공허해.
슬픔,무기력,요즘은 진짜 아무 생각이 안 들어.
슬픔,무기력,기분이 무겁고 몸도 무거워.
슬픔,무기력,다시 기운이 돌아오면 좋겠어.
슬픔,무기력,하루가 너무 지루하게 흘러가.
슬픔,무기력,그냥 다 귀찮고 피곤해.
